--- INIT Consulta 1

Nationality                                 	01-2022	02-2022	03-2022	04-2022	05-2022	06-2022	07-2022	08-2022	09-2022	10-2022	11-2022	12-2022
Bermuda                                     	3      	0      	0      	0      	1      	0      	1      	0      	0      	2      	0      	0      
Bhutan                                      	1      	5      	5      	5      	2      	2      	2      	3      	1      	2      	3      	3      
Bolivia                                     	25     	14     	17     	15     	16     	13     	14     	19     	13     	13     	13     	15     
Bonaire                                     	0      	0      	3      	1      	0      	0      	1      	0      	0      	1      	0      	0      
Bosnia and Herzegovina                      	20     	14     	15     	21     	23     	23     	21     	19     	20     	21     	12     	20     
Botswana                                    	8      	4      	10     	8      	9      	3      	8      	6      	5      	12     	5      	9      
Brazil                                      	279    	280    	273    	254    	310    	265    	298    	287    	252    	265    	243    	253    
British Virgin Islands                      	0      	0      	0      	0      	0      	0      	0      	0      	0      	1      	0      	0      
Brunei                                      	0      	0      	2      	0      	0      	1      	0      	0      	0      	0      	0      	0      
Bulgaria                                    	22     	26     	22     	34     	25     	23     	19     	20     	30     	31     	24     	21     
Burkina Faso                                	8      	5      	8      	10     	10     	6      	4      	5      	6      	6      	6      	3      
Burundi                                     	1      	4      	1      	4      	2      	2      	1      	2      	2      	1      	0      	3      
Cambodia                                    	3      	2      	3      	9      	10     	11     	3      	7      	6      	7      	10     	6      
Cameroon                                    	7      	22     	15     	18     	13     	17     	16     	15     	16     	16     	15     	11     
Canada                                      	92     	76     	82     	95     	86     	95     	87     	87     	93     	92     	79     	75     
Cape Verde                                  	1      	2      	2      	2      	2      	5      	1      	2      	1      	6      	3      	1      
Cayman Islands                              	2      	1      	0      	0      	3      	1      	1      	1      	0      	0      	0      	0      
Central African Republic                    	5      	5      	4      	3      	6      	9      	4      	6      	4      	5      	4      	9      
Chad                                        	8      	10     	3      	6      	3      	6      	8      	9      	5      	3      	9      	2      
Chile                                       	20     	9      	29     	23     	16     	20     	22     	29     	17     	21     	19     	21     
China                                       	1302   	1278   	1352   	1266   	1352   	1327   	1356   	1392   	1268   	1348   	1280   	1237   
Christmas Island                            	0      	0      	0      	1      	0      	0      	1      	0      	0      	0      	0      	1      
Cocos Islands                               	0      	0      	0      	0      	0      	0      	0      	0      	0      	2      	0      	0      
Colombia                                    	96     	75     	87     	92     	93     	110    	102    	86     	91     	94     	99     	102    
Comoros                                     	5      	4      	5      	8      	9      	8      	7      	6      	8      	8      	6      	5      
Cook Islands                                	0      	0      	0      	0      	0      	0      	0      	1      	0      	0      	1      	0      
Costa Rica                                  	8      	11     	13     	15     	19     	12     	14     	15     	12     	12     	8      	17     
Croatia                                     	38     	32     	35     	39     	35     	38     	37     	29     	42     	36     	36     	30     
Cuba                                        	27     	17     	23     	29     	27     	22     	30     	27     	28     	23     	26     	23     
Curacao                                     	0      	1      	0      	1      	0      	1      	1      	0      	0      	0      	1      	0      
Cyprus                                      	12     	7      	13     	4      	7      	3      	9      	8      	6      	9      	5      	6      
Czech Republic                              	136    	114    	131    	112    	110    	114    	116    	143    	96     	122    	124    	121    
Democratic Republic of the Congo            	11     	7      	10     	24     	14     	10     	9      	11     	8      	12     	9      	8      
Denmark                                     	12     	8      	5      	4      	10     	6      	16     	9      	11     	16     	8      	10     
Djibouti                                    	0      	1      	0      	0      	1      	1      	5      	4      	1      	3      	1      	0      
Dominica                                    	2      	2      	0      	3      	2      	3      	1      	2      	3      	1      	1      	3      
Dominican Republic                          	20     	18     	23     	24     	27     	16     	22     	19     	24     	19     	26     	17     
East Timor                                  	1      	4      	3      	7      	1      	1      	4      	2      	0      	1      	0      	1      
Ecuador                                     	19     	16     	23     	17     	16     	17     	9      	10     	17     	16     	15     	24     
Egypt                                       	23     	18     	21     	18     	18     	25     	23     	18     	13     	21     	10     	15     
El Salvador                                 	10     	8      	13     	6      	7      	6      	11     	6      	7      	5      	14     	7      
Equatorial Guinea                           	4      	0      	1      	3      	1      	1      	0      	3      	2      	2      	1      	1      
Eritrea                                     	1      	1      	1      	1      	3      	1      	4      	2      	0      	1      	2      	3      
Estonia                                     	9      	7      	6      	10     	11     	6      	9      	10     	7      	10     	6      	5      
Ethiopia                                    	24     	15     	11     	18     	11     	25     	14     	17     	14     	20     	17     	17     
Falkland Islands                            	0      	0      	1      	0      	1      	0      	0      	0      	0      	0      	0      	1      
Faroe Islands                               	0      	0      	0      	2      	0      	1      	1      	1      	1      	1      	3      	1      
Fiji                                        	1      	0      	1      	1      	1      	1      	0      	0      	0      	1      	1      	0      
Finland                                     	42     	35     	38     	43     	34     	56     	45     	41     	26     	45     	33     	44     
France                                      	236    	190    	192    	172    	222    	217    	228    	231    	214    	221    	164    	186    
French Guiana                               	1      	0      	2      	0      	0      	0      	0      	1      	1      	0      	0      	0      
French Polynesia                            	1      	2      	0      	5      	2      	4      	4      	6      	4      	2      	4      	7      
French Southern Territories                 	0      	0      	1      	0      	0      	0      	0      	1      	0      	0      	0      	0      
Gabon                                       	4      	4      	2      	1      	1      	3      	1      	4      	1      	2      	2      	3      
Gambia                                      	4      	7      	9      	5      	6      	4      	4      	5      	7      	4      	4      	4      
Georgia                                     	11     	7      	8      	9      	10     	12     	8      	10     	8      	10     	10     	8      
Germany                                     	20     	15     	19     	20     	20     	17     	14     	22     	17     	29     	21     	25     
Ghana                                       	5      	6      	8      	8      	7      	5      	9      	5      	6      	3      	5      	7      
Greece                                      	88     	91     	74     	92     	81     	77     	93     	106    	94     	90     	78     	88     
Greenland                                   	1      	0      	0      	0      	1      	0      	1      	0      	1      	2      	2      	2      
Grenada                                     	0      	2      	2      	0      	0      	1      	2      	2      	0      	0      	0      	0      
Guadeloupe                                  	1      	1      	1      	0      	3      	1      	1      	2      	0      	1      	1      	1      
Guam                                        	1      	5      	0      	0      	3      	1      	3      	3      	1      	2      	1      	0      
Guatemala                                   	24     	32     	25     	27     	35     	22     	31     	34     	28     	30     	25     	24     
Guinea                                      	5      	3      	4      	4      	3      	7      	3      	0      	4      	3      	4      	1      
Guinea-Bissau                               	0      	1      	2      	1      	3      	2      	3      	1      	1      	1      	3      	0      
Guyana                                      	2      	0      	2      	1      	1      	0      	0      	0      	1      	3      	3      	3      
Haiti                                       	5      	8      	5      	6      	8      	10     	11     	11     	13     	6      	9      	11     
Honduras                                    	46     	34     	51     	30     	40     	32     	43     	31     	38     	45     	34     	30     
Hong Kong                                   	1      	0      	2      	1      	0      	1      	3      	1      	1      	1      	0      	1      
Hungary                                     	10     	4      	4      	7      	5      	7      	4      	8      	6      	7      	12     	7      
Iceland                                     	0      	1      	3      	1      	5      	2      	1      	2      	7      	5      	2      	4      
India                                       	1      	0      	0      	0      	0      	0      	1      	0      	0      	1      	0      	2      
Indonesia                                   	781    	720    	797    	713    	767    	759    	750    	791    	766    	762    	746    	708    
Iran                                        	38     	45     	27     	39     	35     	35     	50     	43     	33     	37     	40     	30     
Iraq                                        	2      	4      	8      	8      	5      	3      	5      	9      	8      	6      	9      	2      
Ireland                                     	33     	23     	37     	29     	32     	18     	31     	37     	35     	31     	19     	31     
Isle of Man                                 	0      	0      	1      	0      	0      	0      	0      	0      	0      	0      	1      	1      
Israel                                      	15     	10     	10     	14     	15     	9      	18     	10     	14     	9      	19     	9      
Italy                                       	7      	6      	8      	10     	11     	9      	13     	11     	9      	6      	12     	8      
Ivory Coast                                 	14     	8      	10     	7      	7      	10     	13     	15     	15     	13     	11     	10     
Jamaica                                     	8      	6      	8      	5      	11     	9      	8      	7      	9      	8      	11     	10     
Japan                                       	133    	121    	137    	134    	132    	133    	125    	125    	111    	148    	133    	135    
Jersey                                      	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      	1      
Jordan                                      	11     	10     	7      	10     	8      	12     	8      	8      	17     	7      	17     	8      
Kazakhstan                                  	24     	28     	25     	31     	27     	23     	31     	25     	30     	34     	28     	22     
Kenya                                       	14     	17     	11     	9      	9      	13     	18     	8      	18     	11     	13     	7      
Kiribati                                    	2      	2      	1      	0      	2      	0      	4      	3      	1      	1      	1      	1      
Kosovo                                      	12     	8      	4      	4      	7      	5      	4      	6      	10     	6      	4      	5      
Kuwait                                      	3      	5      	1      	3      	6      	2      	4      	6      	6      	5      	4      	3      
Kyrgyzstan                                  	6      	3      	5      	5      	12     	6      	13     	7      	11     	6      	8      	1      
Laos                                        	5      	4      	4      	5      	5      	5      	4      	6      	1      	12     	4      	5      
Latvia                                      	16     	10     	13     	12     	15     	19     	20     	15     	11     	12     	9      	14     
Lebanon                                     	1      	3      	3      	8      	2      	5      	4      	0      	0      	5      	5      	8      
Lesotho                                     	1      	3      	3      	2      	2      	4      	2      	1      	1      	2      	3      	3      
Liberia                                     	3      	1      	4      	4      	1      	1      	7      	1      	2      	4      	3      	1      
Libya                                       	7      	6      	10     	8      	5      	4      	12     	7      	10     	13     	3      	7      
Liechtenstein                               	1      	1      	0      	1      	1      	0      	1      	0      	0      	1      	3      	0      
Lithuania                                   	9      	9      	10     	7      	10     	13     	13     	18     	20     	9      	10     	12     
Luxembourg                                  	5      	4      	8      	6      	16     	15     	12     	14     	9      	8      	7      	10     
Macao                                       	0      	2      	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      
Macedonia                                   	22     	23     	22     	18     	14     	16     	10     	23     	23     	20     	19     	16     
Madagascar                                  	17     	15     	11     	18     	16     	21     	20     	22     	12     	17     	17     	18     
Malawi                                      	4      	8      	3      	5      	7      	0      	4      	4      	7      	4      	2      	4      
Malaysia                                    	40     	33     	38     	31     	38     	30     	38     	27     	23     	31     	31     	30     
Maldives                                    	0      	4      	3      	0      	1      	1      	2      	7      	1      	3      	1      	1      
Mali                                        	11     	8      	8      	9      	5      	5      	4      	12     	4      	9      	11     	9      
Malta                                       	8      	6      	7      	10     	5      	8      	7      	4      	5      	4      	6      	4      
Marshall Islands                            	1      	0      	6      	3      	1      	2      	3      	7      	0      	0      	0      	0      
Martinique                                  	2      	0      	1      	2      	1      	1      	1      	2      	2      	2      	0      	1      
Mauritania                                  	0      	3      	1      	1      	0      	2      	2      	1      	2      	2      	5      	5      
Mauritius                                   	4      	6      	5      	8      	12     	15     	9      	12     	8      	7      	6      	5      
Mayotte                                     	0      	2      	0      	0      	0      	2      	1      	1      	0      	4      	3      	1      
Mexico                                      	81     	71     	81     	60     	72     	78     	68     	83     	84     	82     	72     	62     
Micronesia                                  	3      	6      	5      	8      	3      	1      	4      	4      	7      	5      	9      	6      
Moldova                                     	7      	4      	9      	4      	5      	11     	8      	7      	12     	3      	6      	5      
Monaco                                      	0      	0      	2      	0      	2      	1      	0      	3      	0      	0      	3      	1      
Mongolia                                    	35     	23     	30     	30     	39     	29     	38     	39     	28     	37     	24     	26     
Montenegro                                  	5      	3      	2      	4      	6      	8      	6      	2      	4      	1      	1      	2      
Montserrat                                  	1      	0      	1      	1      	0      	0      	0      	1      	0      	2      	2      	0      
Morocco                                     	22     	21     	40     	26     	31     	33     	35     	33     	27     	26     	26     	31     
Mozambique                                  	5      	1      	1      	5      	6      	2      	5      	6      	5      	3      	3      	8      
Myanmar                                     	8      	9      	11     	10     	17     	8      	8      	8      	12     	11     	11     	17     
Namibia                                     	4      	2      	6      	6      	6      	3      	6      	5      	4      	4      	4      	4      
Nauru                                       	0      	1      	1      	0      	0      	0      	1      	1      	1      	0      	0      	0      
Nepal                                       	12     	8      	15     	6      	10     	10     	8      	9      	8      	9      	7      	14     
Netherlands                                 	30     	16     	33     	25     	42     	31     	28     	28     	21     	31     	26     	27     
New Caledonia                               	1      	5      	6      	1      	0      	3      	2      	6      	1      	4      	2      	2      
New Zealand                                 	11     	16     	18     	10     	10     	14     	14     	16     	22     	13     	13     	13     
Nicaragua                                   	13     	8      	14     	17     	12     	21     	16     	17     	14     	5      	24     	9      
Niger                                       	8      	6      	1      	9      	4      	6      	10     	7      	7      	4      	5      	13     
Nigeria                                     	66     	68     	51     	59     	65     	57     	69     	53     	81     	64     	75     	56     
Niue                                        	0      	0      	0      	0      	0      	0      	2      	0      	0      	1      	0      	0      
Norfolk Island                              	0      	0      	1      	0      	0      	0      	0      	0      	0      	0      	0      	0      
North Korea                                 	15     	18     	12     	11     	9      	13     	12     	4      	10     	18     	9      	12     
Northern Mariana Islands                    	0      	0      	0      	0      	1      	0      	0      	0      	0      	1      	0      	1      
Norway                                      	37     	28     	34     	34     	32     	36     	27     	33     	25     	31     	35     	34     
Oman                                        	4      	1      	7      	1      	5      	1      	1      	2      	3      	2      	1      	2      
Pakistan                                    	42     	36     	37     	25     	28     	39     	37     	47     	46     	38     	50     	32     
Palau                                       	1      	0      	1      	2      	0      	0      	5      	1      	3      	3      	4      	1      
Palestinian Territory                       	33     	31     	27     	34     	26     	24     	29     	30     	28     	29     	34     	27     
Panama                                      	12     	15     	16     	19     	17     	20     	17     	18     	13     	17     	21     	8      
Papua New Guinea                            	3      	4      	7      	0      	2      	4      	4      	0      	1      	1      	5      	6      
Paraguay                                    	11     	11     	11     	6      	14     	7      	7      	14     	5      	10     	10     	9      
Peru                                        	99     	89     	112    	110    	109    	106    	96     	115    	117    	132    	128    	114    
Philippines                                 	373    	355    	379    	351    	369    	366    	371    	363    	399    	371    	407    	374    
Pitcairn                                    	0      	0      	0      	0      	1      	0      	0      	0      	0      	1      	0      	0      
Poland                                      	231    	232    	214    	245    	222    	228    	252    	231    	225    	218    	242    	258    
Portugal                                    	224    	202    	278    	242    	231    	236    	229    	250    	228    	221    	216    	244    
Puerto Rico                                 	1      	0      	3      	0      	1      	3      	0      	1      	1      	1      	1      	1      
Qatar                                       	0      	2      	3      	1      	1      	1      	3      	1      	4      	1      	0      	0      
Republic of the Congo                       	4      	0      	3      	2      	2      	4      	0      	0      	6      	3      	1      	2      
Reunion                                     	3      	2      	3      	1      	1      	1      	1      	3      	2      	5      	3      	0      
Romania                                     	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      	1      
Russia                                      	436    	389    	417    	380    	431    	395    	439    	434    	404    	411    	388    	406    
Rwanda                                      	1      	2      	2      	0      	0      	0      	1      	2      	1      	0      	2      	0      
Saint Helena                                	1      	0      	0      	0      	0      	0      	0      	0      	0      	0      	1      	0      
Saint Kitts and Nevis                       	1      	0      	0      	4      	0      	2      	2      	1      	2      	2      	0      	1      
Saint Lucia                                 	0      	1      	1      	1      	3      	4      	2      	1      	1      	0      	0      	1      
Saint Martin                                	0      	0      	0      	0      	1      	0      	0      	0      	0      	1      	0      	0      
Saint Pierre and Miquelon                   	1      	0      	0      	0      	0      	2      	0      	0      	0      	0      	1      	0      
Saint Vincent and the Grenadines            	1      	0      	2      	0      	2      	1      	0      	0      	3      	0      	1      	0      
Samoa                                       	2      	3      	1      	1      	0      	3      	1      	1      	2      	1      	0      	3      
San Marino                                  	0      	1      	1      	1      	1      	2      	0      	0      	3      	0      	0      	0      
Sao Tome and Principe                       	0      	0      	0      	0      	0      	1      	0      	0      	1      	0      	0      	1      
Saudi Arabia                                	3      	7      	4      	8      	5      	7      	13     	2      	11     	14     	3      	10     
Senegal                                     	4      	5      	3      	2      	13     	6      	8      	4      	6      	4      	5      	4      
Serbia                                      	38     	26     	45     	35     	37     	38     	41     	32     	42     	41     	29     	45     
Seychelles                                  	4      	1      	1      	0      	1      	0      	1      	0      	1      	0      	1      	0      
Sierra Leone                                	7      	12     	5      	6      	10     	4      	4      	8      	5      	8      	3      	7      
Singapore                                   	0      	0      	0      	0      	0      	0      	0      	0      	0      	0      	2      	1      
Slovakia                                    	1      	0      	0      	1      	0      	0      	0      	0      	0      	2      	0      	1      
Slovenia                                    	25     	35     	31     	29     	34     	25     	24     	33     	27     	29     	26     	29     
Solomon Islands                             	0      	2      	2      	1      	0      	0      	1      	0      	2      	1      	1      	2      
Somalia                                     	5      	2      	5      	8      	4      	6      	6      	3      	3      	1      	2      	8      
South Africa                                	41     	40     	45     	39     	53     	44     	46     	53     	42     	47     	32     	39     
South Georgia and the South Sandwich Islands	0      	0      	1      	0      	0      	0      	0      	0      	1      	0      	0      	0      
South Korea                                 	20     	17     	28     	25     	25     	17     	23     	36     	26     	24     	25     	18     
South Sudan                                 	1      	1      	3      	2      	3      	1      	1      	1      	1      	1      	0      	2      
Spain                                       	13     	15     	21     	18     	20     	12     	18     	18     	20     	17     	15     	17     
Sri Lanka                                   	8      	12     	10     	10     	15     	10     	9      	7      	12     	7      	10     	8      
Sudan                                       	4      	4      	9      	5      	8      	3      	3      	8      	7      	4      	4      	4      
Suriname                                    	2      	0      	2      	1      	1      	3      	2      	1      	0      	1      	1      	1      
Svalbard and Jan Mayen                      	0      	0      	1      	0      	0      	0      	0      	0      	0      	0      	0      	1      
Swaziland                                   	1      	5      	1      	1      	1      	1      	2      	1      	1      	2      	1      	2      
Sweden                                      	196    	159    	174    	165    	197    	157    	185    	166    	172    	151    	191    	167    
Switzerland                                 	4      	5      	4      	3      	7      	4      	5      	7      	1      	4      	3      	0      
Syria                                       	28     	22     	26     	22     	23     	22     	34     	23     	25     	33     	25     	21     
Taiwan                                      	2      	2      	6      	2      	2      	0      	3      	3      	3      	3      	3      	2      
Tajikistan                                  	7      	10     	13     	9      	4      	8      	12     	14     	11     	5      	11     	10     
Tanzania                                    	29     	21     	22     	22     	35     	17     	35     	26     	31     	32     	24     	24     
Thailand                                    	118    	99     	95     	102    	101    	110    	95     	108    	83     	103    	86     	108    
Togo                                        	1      	1      	1      	3      	2      	2      	2      	4      	2      	5      	3      	4      
Tokelau                                     	1      	0      	1      	2      	0      	0      	0      	1      	0      	0      	1      	0      
Tonga                                       	0      	2      	0      	1      	1      	0      	2      	1      	1      	0      	3      	1      
Trinidad and Tobago                         	1      	2      	1      	4      	3      	5      	0      	2      	2      	4      	3      	1      
Tunisia                                     	19     	14     	11     	16     	24     	29     	12     	24     	17     	19     	23     	16     
Turkey                                      	2      	2      	0      	1      	2      	1      	1      	1      	4      	0      	1      	3      
Turkmenistan                                	2      	5      	4      	5      	3      	4      	4      	4      	2      	0      	7      	7      
Tuvalu                                      	1      	1      	1      	0      	0      	3      	1      	0      	3      	0      	0      	1      
U.S. Virgin Islands                         	0      	0      	0      	0      	1      	0      	0      	0      	1      	2      	0      	0      
Uganda                                      	11     	12     	14     	18     	14     	11     	17     	15     	26     	13     	21     	13     
Ukraine                                     	106    	110    	110    	102    	121    	126    	109    	116    	122    	121    	114    	109    
United Arab Emirates                        	0      	2      	1      	2      	4      	3      	2      	2      	1      	2      	2      	6      
United Kingdom                              	14     	16     	16     	19     	9      	10     	16     	9      	16     	10     	13     	11     
United States                               	175    	147    	148    	158    	135    	143    	134    	139    	181    	156    	134    	149    
Uruguay                                     	9      	7      	10     	10     	10     	8      	12     	11     	13     	8      	5      	10     
Uzbekistan                                  	10     	12     	12     	14     	12     	17     	17     	15     	17     	19     	11     	13     
Vanuatu                                     	0      	2      	2      	1      	0      	1      	0      	0      	1      	1      	3      	0      
Venezuela                                   	35     	32     	35     	29     	36     	30     	30     	31     	25     	35     	28     	31     
Vietnam                                     	56     	45     	67     	59     	61     	47     	49     	73     	50     	64     	50     	46     
Wallis and Futuna                           	2      	2      	0      	2      	0      	0      	0      	0      	1      	0      	0      	1      
Western Sahara                              	1      	0      	0      	0      	2      	0      	1      	0      	1      	0      	0      	0      
Yemen                                       	34     	29     	21     	33     	30     	33     	28     	29     	18     	38     	24     	30     
Zambia                                      	9      	7      	4      	4      	12     	6      	5      	5      	7      	5      	3      	5      
Zimbabwe                                    	8      	8      	9      	7      	10     	6      	7      	6      	6      	6      	5      	8      

--- END Consulta 1
